StudentID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,True_Ability_Theta,Total_Raw_Score,Estimated_Ability
S_1,1,1,1,1,1,1,1,1,1,1,0.4967141530112327,10,1.2351870272937104
S_2,1,1,1,0,1,0,1,1,0,0,-0.1382643011711846,6,-0.017237655090889308
S_3,1,1,1,1,0,0,1,1,0,1,0.6476885381006925,7,0.25098469956414254
S_4,1,1,1,1,1,1,1,1,1,0,1.5230298564080254,9,0.9816191583403062
S_5,1,1,1,0,1,0,1,1,1,1,-0.2341533747233359,8,0.3562882677886018
S_6,0,1,1,0,1,1,0,1,1,0,-0.2341369569491805,6,-0.3193022276454821
S_7,1,1,1,1,1,1,0,1,1,1,1.5792128155073917,9,0.9868073088429345
S_8,1,1,1,1,0,0,1,0,1,0,0.7674347291529088,6,-0.0503908810404693
S_9,1,1,0,1,1,0,0,1,0,0,-0.4694743859349521,5,-0.18797227963475172
S_10,1,1,1,1,1,1,1,0,1,0,0.5425600435859647,8,0.6489907005924519
S_11,1,1,1,0,0,0,0,0,0,1,-0.4634176928124622,4,-0.6672646251205444
S_12,1,1,1,1,0,0,1,1,0,0,-0.4657297535702568,6,0.05292582810287687
S_13,1,0,0,1,1,1,1,1,0,1,0.2419622715660341,7,-0.013584001719231173
S_14,0,0,0,0,0,0,0,0,1,0,-1.913280244657798,1,-2.0211750672002426
S_15,1,1,0,0,0,0,0,0,1,0,-1.7249178325130328,3,-1.1188780541834924
S_16,1,0,1,1,1,0,1,1,1,0,-0.5622875292409727,7,0.21780526122498808
S_17,1,0,1,1,1,0,0,1,0,0,-1.0128311203344238,5,-0.1407747568174081
S_18,1,1,1,1,1,1,0,0,1,1,0.3142473325952739,8,0.6537389399220587
S_19,0,1,1,1,0,0,1,1,1,0,-0.9080240755212108,6,-0.2932490809651689
S_20,1,1,0,1,0,1,1,1,0,0,-1.4123037013352917,6,-0.19317211253643135
S_21,1,1,1,1,1,0,1,1,1,1,1.465648768921554,9,0.9328881685247423
S_22,1,1,1,0,0,1,1,1,1,1,-0.2257763004865356,8,0.15192594149896893
S_23,1,1,1,1,1,0,0,1,0,1,0.0675282046879238,7,0.5080809378125662
S_24,0,0,0,1,1,0,0,1,1,0,-1.4247481862134568,4,-0.9097650884505697
S_25,0,1,1,1,1,0,1,1,1,0,-0.5443827245251827,7,0.12226356601379687
S_26,1,1,1,1,1,0,0,1,1,0,0.110922589709866,7,0.4817211459511674
S_27,1,0,0,1,0,1,1,0,1,0,-1.1509935774223028,5,-0.6887762119380793
S_28,1,1,1,1,0,1,1,1,1,0,0.3756980183456719,8,0.4756651407664724
S_29,0,1,1,1,0,1,1,1,1,0,-0.600638689918805,7,-0.0716131047889193
S_30,1,1,0,1,0,1,1,0,0,0,-0.2916937497932768,5,-0.44896185468933003
S_31,1,1,1,1,0,1,0,1,1,0,-0.6017066122293969,7,0.271060032110111
S_32,1,1,1,1,1,1,1,1,1,0,1.8522781845089376,9,0.9816191583403062
S_33,0,1,0,0,1,1,0,1,0,1,-0.0134972247379339,5,-0.7379947483275364
S_34,0,0,0,1,0,0,1,0,1,0,-1.0577109289559004,3,-1.3667185300587517
S_35,1,1,1,1,1,1,1,1,1,0,0.822544912103189,9,0.9816191583403062
S_36,1,0,0,0,1,1,0,1,0,0,-1.2208436499710222,4,-0.827449538785656
S_37,0,1,0,1,0,1,1,1,0,0,0.2088635950047554,5,-0.6785447006139187
S_38,0,0,0,0,1,1,1,1,1,1,-1.959670123879776,6,-0.8055758749232782
S_39,1,1,0,0,0,0,1,0,0,1,-1.3281860488984305,4,-0.9297891025063556
S_40,1,0,0,1,0,1,0,1,0,0,0.1968612358691235,4,-0.7646331764648826
S_41,1,1,1,1,1,1,0,1,1,0,0.7384665799954104,8,0.7487651598305755
S_42,0,0,0,1,1,0,0,1,0,1,0.1713682811899705,4,-0.8887927985978451
S_43,1,1,0,1,1,0,1,1,0,0,-0.1156482823882405,6,-0.00419449851422951
S_44,0,0,0,1,1,1,1,1,0,0,-0.3011036955892888,5,-0.6858275675067766
S_45,1,1,0,1,0,0,0,0,0,0,-1.4785219903674274,3,-0.8279714217141767
S_46,0,1,1,0,0,0,0,0,0,0,-0.7198442083947086,2,-1.310005035939631
S_47,0,1,0,0,1,0,0,1,0,1,-0.4606387709597875,4,-0.944208724627083
S_48,1,1,1,1,0,1,1,1,1,0,1.0571222262189155,8,0.4756651407664724
S_49,1,1,1,1,0,1,0,1,0,1,0.3436182895684614,7,0.2960419693581659
S_50,0,0,1,0,0,1,1,0,1,0,-1.763040155362734,4,-1.1698986855081905
S_51,1,1,1,1,0,0,0,1,0,1,0.324083969394795,6,0.057019119518133404
S_52,1,1,1,0,0,1,1,0,1,0,-0.3850822804163165,6,-0.3041153898217742
S_53,1,0,0,1,1,0,0,1,0,1,-0.6769220003059587,5,-0.41407738097786817
S_54,1,0,1,1,1,1,0,1,0,1,0.6116762888408679,7,0.28742719048048737
S_55,1,1,1,1,0,1,0,1,0,0,1.030999522495951,6,0.09592656439709278
S_56,1,1,1,1,1,1,0,1,1,1,0.9312801191161986,9,0.9868073088429345
